phrase,prompt
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
When I tried to take care if my hair I found that it is falling out,Hair falling out
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
There are lots of hairs on my pillow in the morning.,Hair falling out
I can't turn my neck to the left without feeling a stabbing pain,Neck pain
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts
When I play sports  I have some burning sensation in my spine,Back pain
My acne is really embarassing. It's so read.,Acne
My acne itches and oozes.,Acne
It itches inside my ears.,Ear ache
"Even if the temperature is high in the house,  my body is always cold",Feeling cold
"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.",Blurry vision
I have a red rash that is itchy on my skin,Skin issue
My head is so heavy can't think normally,Head ache
I feel a sharp pain in the stomach after eating,Stomach ache
My chest hurts when I go to take a breath,Hard to breath
I'm not feeling good I get infection wound,Infected wound
Every time I look to left I feel a sharp pain in my neck.,Neck pain
I'm not hearing well I have problem with my ear,Ear ache
when i wake up in the morning i feel dizzy,Feeling dizzy
I feel a pain in my back,Back pain
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
I've got a hard time to breath- am I having a heart attack?,Hard to breath
I've been feeling very sad lately,Emotional pain
When i'm doing sport I have pain under my skin,Muscle pain
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain
I have a cut that has become red and oozes puss.,Infected wound
I have a split on my thumb that will not heal.,Open wound
i feel pain in my foot,Foot ache
i feel dizzy after severe diarrhea,Feeling dizzy
I feel like the room is spinning,Feeling dizzy
I feel pain in my neck while I'm working.,Neck pain
I lose a lot of my hair,Hair falling out
I've had this cough for two weeks.,Cough
I feel pain when parting loved ones,Emotional pain
After an hard working day I have foot ache,Foot ache
I think my wound is infected,Infected wound
i feel pain in my knee,Knee pain
i have pain like needles in my joints.,Joint pain
"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports
Sometimes my body feels week without reason,Body feels weak
I'm in need for a treatment for my hair fall,Hair falling out
I have a lot of mucus when I cough.,Cough
I visited many doctors but they can't find the right treatment toget my hair back,Hair falling out
"When I walk up a flight of stairs, my right knee hurts.",Knee pain
Is pimples a skin disease?,Acne
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain
I feel really sad all the time.,Emotional pain
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain
I have a head pain every single day.,Internal pain
Since I went into the forest  I have pain on my ear,Ear ache
I have shooting pains up and down my back.,Back pain
I feel a strange and powerful pain inside my rib cage,Heart hurts
When i'm doing sport I have pain under my skin,Muscle pain
My knees seem to grind as I go up or down stairs.,Knee pain
I feel dizzy whenever I stand up.,Feeling dizzy
I feel a great amount of pressure of my head.,Head ache
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports
i have shoulder pain after doing any home work.,Shoulder pain
I have a powerful pain inside my neck,Neck pain
It hurts when I raise my arm up,Shoulder pain
I must see a doctor i have an open wound,Open wound
i hit the ground when trying to shoot a basketball,Injury from sports
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache
i can't breath because of  Cough,Cough
I can hardly move my neck.  It hurts.,Neck pain
My sore looks like its not healing well.,Infected wound
Even though I'm an adult my face keeps breaking out in pimples.,Acne
i have a strong shoulder pain,Shoulder pain
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound
I have a sharp pain in my lower stomach.,Stomach ache
I have a dull ache in  my lower back which makes it difficult to move,Back pain
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
My joints ache whenever it is cold,Joint pain
I visited many doctors but they can't find the right treatment toget my hair back,Hair falling out
there pain in my foot,Foot ache
When I was young I had an injury from sports in my knee.,Injury from sports
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports
My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
I get clusters of pimples on my face that never go away.,Acne
My heart hurts when I exercise,Heart hurts
I can't carry anything I have a pain in my shoulder,Shoulder pain
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound
My upper back has been sore for a week.,Back pain
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
My shower drain is full of hair every time.,Hair falling out
I have pain in my colon and my stomach like something cutting it,Stomach ache
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
my temperature dropped and my body get synosed,Feeling cold
I'm in need for a treatment for my hair fall,Hair falling out
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache
When I stand up too quick my vision is blurry.,Blurry vision
"My body feels weak after my first day in the gym, why?",Body feels weak
"My hair is coming out in chunks, especially when I wash it",Hair falling out
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache
I get chills and aches all over.,Feeling cold
"When I walk up a flight of stairs, my right knee hurts.",Knee pain
i have pain but i can't specify place,Internal pain
I feel a sharp pain in my stomach,Internal pain
My stomach has been sore since yesterday.,Stomach ache
fell skull is cracked like nuts,Head ache
I have a headache every time I eat ice cream,Head ache
My calves feel like they are tight as knots and are throbbing,Muscle pain
I have a dull ache in my head,Head ache
"At first it feels really numb, but then a thousand needles start to prick through my foot.",Foot ache
I can't work good I have a pain in my knee,Knee pain
I feel fluid trying to come up when I cough.,Cough
i have a problem in my back i cannot extend it,Back pain
These red spots on my cheeks are new. What is it?,Skin issue
When i eat i feel my stomach hurts,Stomach ache
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy
I had a pain in my knee when I was swimming,Knee pain
"My stomach aches when I eat hot food, why?",Stomach ache
My back hurts a lot when I bend,Back pain
when i wake up in the morning i feel dizzy,Feeling dizzy
heart aches so much,Heart hurts
My kee is swallowing which indicates i have an infected wound,Infected wound
longitudinal burning line across back with hard respiratory movements,Back pain
I'm not feeling good I get infection wound,Infected wound
I get big patches of irritated pimples on my back and they hurt.,Acne
I feel emotionally crushed,Emotional pain
"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold
